;Joep;Joris;Jordy;Max;Charlotte;Evie;Willemijn;Job;Nynke;Britt;Tim;Ashwin;Cyrille;Gijs;Dennis;Kris;Sana;Diana;Lau;Badr;Luc;
MEX-ZAF;1-0;2-1;2-0;2-1;2-1;3-0;3-1;2-1;2-0;3-1;2-0;3-1;2-0;3-0;3-1;2-0;2-0;2-1;1-0;1-1;2-1;
ZKO-CZE;1-0;1-1;0-1;0-2;1-0;1-2;0-2;0-1;1-2;1-1;0-2;1-1;0-1;1-1;1-2;0-1;1-1;1-1;0-2;1-2;1-1;
CAN-BOS;1-0;2-0;3-0;2-1;3-2;2-1;1-1;0-1;0-2;2-0;2-3;1-0;1-2;1-0;3-1;2-2;1-1;2-1;1-0;2-1;2-2;
USA-PAR;1-0;0-1;1-1;2-1;3-2;2-1;1-0;1-0;2-0;1-0;1-0;2-0;2-1;2-0;2-1;2-1;0-2;0-0;1-2;1-1;2-1;
QAT-SUI;0-2;0-2;0-2;0-2;1-2;0-2;0-3;1-3;1-1;1-1;0-3;0-2;0-2;0-3;1-2;0-2;2-1;0-2;1-2;0-2;0-2;
BRA-MAR;1-0;2-1;2-1;2-1;4-2;2-1;1-2;2-0;3-2;1-2;1-2;3-1;2-2;1-0;3-1;1-1;2-2;3-1;3-1;1-2;1-2;
HAI-SCO;0-1;0-3;0-1;0-2;1-2;0-1;0-4;0-1;1-2;0-3;0-3;0-1;0-2;0-4;1-2;1-1;1-2;0-2;1-2;0-2;0-3;
AUS-TUR;0-1;0-2;1-2;1-2;1-1;1-2;1-3;0-1;2-2;0-2;0-3;1-2;1-1;0-2;1-2;1-2;1-2;0-2;1-1;1-2;1-2;
GER-CUW;3-0;6-0;3-0;4-0;3-1;4-1;3-0;3-1;5-0;3-0;0-1;3-1;6-0;6-0;5-1;4-0;3-0;3-0;4-0;5-1;4-1;
NED-JAP;1-0;1-0;1-0;1-1;2-4;3-1;3-1;0-1;2-1;1-2;3-2;1-1;1-3;0-2;2-1;1-1;2-1;1-0;2-1;2-1;2-1;
IVO-ECU;0-1;1-1;1-2;1-1;1-2;2-1;2-1;0-2;1-2;1-1;1-1;2-0;1-2;2-2;2-2;1-1;2-2;1-1;0-2;2-2;1-2;
SWE-TUN;1-0;2-0;1-1;2-0;1-1;0-1;2-0;1-0;2-2;2-0;2-1;1-0;2-1;2-0;3-0;2-1;1-2;2-0;3-0;1-2;3-1;
ESP-CPV;2-0;7-1;4-0;3-0;4-1;3-0;4-0;3-0;4-0;5-0;3-0;4-0;5-0;6-0;5-1;3-1;3-0;3-0;3-0;3-0;5-0;
BEL-EGY;1-0;0-2;1-0;2-1;3-1;3-2;3-1;1-0;1-3;1-0;2-1;2-1;1-0;2-2;2-1;2-1;3-3;1-2;2-0;3-0;1-1;
SAR-URU;0-1;0-4;0-2;1-2;1-3;0-0;0-2;1-2;0-2;1-1;0-2;0-1;0-2;0-2;0-3;0-2;2-2;0-2;0-3;1-2;1-2;
IRN-NZL;1-0;0-0;0-0;2-0;2-0;1-2;2-0;2-1;1-1;1-1;0-0;1-1;0-2;1-0;1-0;0-2;2-1;1-0;1-1;0-0;0-0;
FRA-SEN;1-0;4-0;1-0;2-1;4-2;3-1;2-1;2-1;2-1;2-1;3-0;2-1;2-1;2-0;4-1;2-0;2-2;2-1;3-1;5-1;2-1;
IRK-NOO;0-2;0-6;0-2;0-2;0-3;0-2;0-3;0-2;3-4;0-1;1-3;0-2;0-2;0-3;1-3;0-3;1-1;0-1;0-2;0-3;0-1;
ARG-ALG;1-0;3-0;2-0;2-0;5-1;3-1;4-0;2-0;3-1;3-1;2-0;2-1;2-1;2-0;3-0;3-1;1-2;2-0;3-0;3-0;1-1;
AUT-JOR;2-0;2-0;1-0;2-0;2-0;2-1;2-0;2-0;2-1;2-0;1-0;1-0;2-0;3-1;2-0;2-0;2-2;1-0;2-0;3-1;2-0;
POR-COD;2-0;4-0;2-0;2-0;3-0;3-1;3-1;2-0;2-0;2-0;6-3;2-0;3-0;3-0;4-0;3-0;2-1;2-0;2-0;3-1;3-1;
ENG-CRO;1-0;2-2;1-1;2-1;3-2;2-1;3-2;2-1;3-2;2-1;2-1;2-2;2-2;2-0;2-1;2-2;3-0;2-1;2-2;2-2;3-3;
GHA-PAN;1-0;1-0;1-2;2-0;3-0;2-1;2-0;2-1;2-1;0-0;3-0;2-0;1-0;2-0;0-2;1-1;2-2;1-0;3-3;2-2;0-1;
OEZ-COL;0-1;0-1;0-2;1-2;0-3;1-2;0-3;0-2;1-2;0-1;0-2;0-2;0-2;0-3;1-3;2-2;0-3;0-2;0-2;0-3;0-1;
CZE-ZAF;0-2;1-1;1-0;2-0;1-1;2-0;3-1;2-1;2-0;0-2;2-1;1-0;2-1;2-0;2-1;1-1;1-2;1-0;2-0;2-2;1-0;
SUI-BOS;1-0;2-0;2-0;2-0;2-2;2-1;2-1;2-1;0-2;1-3;2-1;1-1;1-1;2-0;4-0;1-1;1-2;2-0;1-1;2-2;1-2;
CAN-QAT;1-0;1-0;1-1;2-0;2-1;3-1;0-0;1-0;1-2;2-1;7-7;3-1;1-0;1-1;1-1;2-1;2-0;1-1;2-0;2-1;2-0;
MEX-ZKO;2-1;1-0;1-1;2-0;3-0;2-1;2-0;1-0;1-1;2-1;3-1;2-1;2-1;2-2;2-0;1-0;2-1;2-1;2-1;2-1;1-2;
USA-AUS;1-0;0-0;1-0;2-0;2-1;2-0;1-1;2-1;3-0;1-2;2-1;1-1;2-2;1-0;3-1;1-0;2-2;1-0;2-1;1-1;2-1;
SCO-MAR;0-1;0-3;1-2;1-1;1-3;1-2;2-3;1-2;1-3;0-2;0-4;0-2;1-3;0-2;0-3;0-2;1-2;0-2;2-2;0-3;1-1;
BRA-HAI;3-0;5-0;3-0;3-0;4-0;5-1;3-0;3-0;3-0;3-0;7-0;6-1;4-0;5-0;3-1;3-0;3-0;3-0;4-1;3-0;5-0;
TUR-PAR;1-0;2-1;0-1;1-1;3-1;1-1;2-0;2-1;0-1;1-0;1-1;3-0;3-2;3-0;2-2;1-1;1-3;2-0;0-1;3-2;2-1;
NED-SWE;1-0;1-2;2-1;2-1;2-1;3-0;2-2;2-1;3-1;3-1;4-0;2-1;2-1;1-1;2-2;2-0;2-1;1-1;1-0;3-0;4-2;
GER-IVO;2-0;3-0;1-0;2-1;3-1;2-1;3-1;1-0;3-1;3-1;3-0;2-2;2-1;3-1;3-2;2-2;3-1;2-0;3-0;3-1;1-1;
ECU-CUW;2-0;1-0;2-0;2-0;1-1;1-2;1-1;2-0;2-0;0-2;2-0;1-1;3-1;3-1;2-0;3-0;2-2;2-1;1-1;3-2;2-0;
TUN-JAP;0-1;2-1;0-1;0-2;0-3;1-2;0-2;0-1;0-1;1-2;0-1;0-2;0-2;0-2;1-2;1-2;0-2;0-1;1-1;2-2;1-1;
ESP-SAR;2-0;5-0;3-1;2-0;5-1;4-0;3-0;2-1;3-1;3-0;5-0;2-1;3-0;3-1;4-0;2-0;3-1;3-0;4-0;3-1;3-0;
BEL-IRN;1-0;3-0;2-1;0-2;2-2;2-1;3-1;2-1;4-2;2-1;3-0;1-0;3-0;2-0;2-0;2-0;3-0;2-0;3-1;3-0;3-1;
URU-CPV;1-0;3-0;3-0;2-0;3-0;2-1;2-1;3-1;3-1;1-1;2-1;3-0;2-0;3-0;2-0;3-0;2-2;2-0;2-0;2-2;3-0;
NZL-EGY;0-1;0-2;0-0;0-2;1-3;0-0;0-2;0-1;1-3;0-0;0-2;0-1;0-1;0-2;1-2;2-2;0-3;0-3;1-1;1-2;1-1;
ARG-AUT;1-0;1-0;1-0;2-1;3-1;3-2;2-1;2-1;3-1;3-1;2-0;3-0;1-1;1-1;3-1;2-1;2-1;2-1;3-0;3-0;1-2;
FRA-IRK;2-0;6-0;3-0;3-0;4-1;3-1;6-0;2-1;3-0;4-1;6-0;3-0;2-0;4-0;5-0;3-0;2-1;3-0;3-0;3-0;3-1;
NOO-SEN;1-0;2-1;1-1;1-1;3-1;1-2;2-1;1-0;1-1;2-1;2-2;2-2;1-0;0-1;1-3;2-1;1-2;2-2;2-0;3-1;1-2;
JOR-ALG;0-1;2-2;1-2;1-0;3-3;0-1;0-1;0-1;3-1;0-1;1-2;0-2;0-2;0-1;1-3;1-2;2-2;0-1;1-1;1-2;1-1;
POR-OEZ;2-0;3-1;3-1;3-0;3-1;3-1;4-0;3-0;3-0;4-1;3-1;4-0;2-0;4-0;4-0;2-0;2-2;2-0;1-1;3-0;2-2;
ENG-GHA;2-0;3-1;1-0;2-0;3-0;3-0;3-1;3-0;2-2;3-0;2-0;2-1;2-1;3-1;3-0;3-1;1-1;2-1;3-1;2-1;3-1;
PAN-CRO;0-1;0-3;1-2;0-2;1-3;1-3;1-3;1-2;2-4;0-1;0-1;0-2;0-1;0-2;0-3;1-2;1-2;0-1;0-3;1-2;1-2;
COL-COD;0-1;1-0;2-0;2-1;2-1;2-1;3-1;3-1;2-2;3-0;2-0;1-1;2-0;2-1;3-1;1-1;2-1;2-0;2-0;3-1;1-1;
SUI-CAN;1-0;1-1;0-0;2-1;1-3;2-1;2-1;2-1;1-1;1-2;3-1;0-0;3-1;1-0;2-1;2-0;2-2;2-1;2-1;3-1;1-3;
BOS-QAT;1-0;3-0;0-2;2-1;2-2;1-1;1-0;2-1;2-1;0-0;2-0;1-0;2-1;0-1;0-2;2-1;1-2;0-0;3-0;1-2;2-2;
MAR-HAI;2-0;5-0;2-0;2-0;3-1;3-1;3-0;3-0;3-0;2-1;10-0;3-0;4-1;4-0;2-1;2-1;2-1;2-0;2-0;4-0;3-0;
SCO-BRA;0-1;0-2;1-2;0-3;1-4;0-3;1-2;1-2;0-4;0-3;0-2;1-3;0-2;0-2;0-4;0-2;1-2;1-2;0-2;0-3;2-4;
ZAF-ZKO;1-0;0-0;0-1;2-2;2-0;0-2;0-1;0-1;0-1;2-2;3-3;1-2;1-2;0-2;1-3;1-1;2-1;0-1;0-1;2-1;0-2;
CZE-MEX;0-0;2-2;1-1;1-3;1-3;1-2;1-0;2-1;1-0;0-2;2-1;2-2;1-1;0-1;1-2;1-1;1-3;0-1;0-2;1-2;0-2;
CUW-IVO;0-2;0-0;1-2;0-2;1-2;1-1;2-1;1-2;1-3;0-0;0-1;1-3;1-3;0-3;2-3;0-4;1-1;0-1;2-2;1-3;1-3;
ECU-GER;1-3;0-3;2-2;1-2;1-4;0-3;0-4;0-1;2-3;1-2;0-3;0-4;2-3;0-1;1-3;0-1;0-3;1-2;0-3;1-3;1-3;
TUN-NED;0-1;0-3;0-1;0-2;0-3;1-2;0-3;1-1;1-3;0-3;0-3;0-3;0-2;0-2;1-3;1-3;1-2;0-2;1-3;2-2;0-6;
JAP-SWE;1-0;0-2;1-1;2-1;3-1;3-1;1-2;1-0;2-0;0-1;0-2;2-0;2-0;0-2;2-1;1-0;1-2;1-1;2-2;2-1;2-1;
PAR-AUS;1-0;2-0;2-1;1-0;1-0;1-0;0-1;1-1;1-0;1-1;2-1;0-1;1-0;1-1;1-3;3-1;2-0;2-0;0-0;0-0;1-3;
TUR-USA;0-1;4-0;0-1;1-1;2-2;0-1;2-1;1-1;1-3;0-1;2-0;1-2;2-1;2-1;3-2;0-2;1-1;2-1;1-2;1-1;2-0;
NOO-FRA;0-1;2-2;1-1;1-2;3-3;1-4;2-3;0-1;0-2;1-2;1-3;2-2;1-1;1-3;2-3;1-3;2-1;0-2;0-2;3-3;1-1;
SEN-IRK;1-0;3-0;2-0;2-0;2-0;1-0;3-0;2-0;2-1;0-0;2-0;2-0;2-0;3-0;3-1;1-1;0-2;2-0;1-1;2-2;3-0;
URU-ESP;0-1;2-2;2-2;1-2;1-3;1-3;3-2;1-2;1-3;1-2;1-3;1-3;0-1;1-2;1-3;1-1;2-2;1-2;3-3;1-2;1-3;
CPV-SAR;1-0;1-1;0-2;1-1;1-1;2-1;1-1;1-2;3-3;0-1;1-1;0-1;2-3;0-3;0-2;1-2;2-2;0-0;1-0;1-2;0-2;
EGY-IRN;1-0;3-0;1-1;1-1;3-1;1-0;1-1;0-1;3-2;1-0;3-0;1-1;2-0;2-2;1-2;2-1;3-0;2-1;2-0;3-0;2-1;
NZL-BEL;0-2;0-1;0-2;0-3;1-2;2-1;1-3;0-3;0-2;0-1;1-2;0-2;0-2;1-3;1-2;0-2;1-2;0-2;1-2;1-2;1-2;
CRO-GHA;1-0;3-0;1-1;1-1;3-0;2-1;2-1;2-0;1-1;1-0;1-0;2-1;2-2;1-1;3-0;2-1;1-2;2-1;2-0;2-2;2-1;
PAN-ENG;0-2;0-2;0-2;0-3;0-3;0-3;1-1;0-1;2-3;1-3;0-3;0-3;0-3;1-3;0-3;0-2;1-1;0-3;1-2;0-1;0-2;
COD-OEZ;1-0;0-0;0-1;1-1;1-1;1-1;1-1;2-0;2-1;0-0;0-0;2-0;1-0;2-2;1-1;1-2;1-1;1-1;1-1;2-1;1-0;
COL-POR;0-1;1-2;1-1;2-2;1-2;1-2;1-3;2-1;1-3;1-2;0-1;1-3;1-1;1-2;2-3;0-2;2-2;1-2;0-2;1-3;2-1;
JOR-ARG;0-2;0-2;0-2;0-3;1-3;1-2;0-4;1-2;1-4;0-3;0-3;0-5;0-4;0-3;4-0;1-2;0-2;0-3;0-2;0-3;0-3;
ALG-AUT;0-1;0-3;1-1;1-3;1-3;1-2;1-2;1-2;0-2;1-1;1-0;2-0;1-3;1-2;1-3;1-1;1-2;1-2;0-1;1-1;1-0;
Topscorer1;E. Haaland;C. Gakpo;O. Demb�l�;H. Kane;C. Gakpo;M. Depay;C. Gakpo;E. Haaland;E. Haaland;M. Depay;C. Gakpo;M. Cunha;E. Haaland;E. Haaland;E. Haaland;O. Demb�l�;E. D�eko;E. Haaland;C. Gakpo;K. Mbapp�;H. Kane;
Topscorer2;L. Messi;E. Haaland;C. Gakpo;L. Martinez;E. Haaland;K. Mbapp�;E. Haaland;H. Kane;H. Kane;H. Kane;H. Kane;E. Haaland;H. Kane;H. Kane;H. Kane;H. Kane;R. Jim�nez;H. Kane;H. Kane;L. Messi;K. Mbapp�;
Topscorer3;C. Ronaldo;H. Kane;E. Haaland;K. Mbapp�;H. Kane;L. Messi;H. Kane;M. Olise;R. Lukaku;R. Lukaku;Vinicius Jr.;K. Mbapp�;L. Martinez;K. Mbapp�;K. Mbapp�;D. Malen;R. Lukaku;K. Mbapp�;R. Lukaku;C. Ronaldo;L. Yamal;
Topscorer4;K. Havertz;K. Mbapp�;H. Kane;Vinicius Jr.;K. Mbapp�;Neymar;K. Mbapp�;M. Oyarzabal;K. Mbapp�;K. Mbapp�;L. Yamal;Raphinha;Raphinha;L. Messi;L. Messi;K. Mbapp�;K. Mbapp�;M. Oyarzabal;L. Messi;J. �lvarez;B. Fernandes;
Topscorer5;J. Musiala;L. Yamal;L. Yamal;L. Yamal;L. Messi;C. Ronaldo;L. Messi;G. Ramos;L. Yamal;Neymar;K. Havertz;F. Torres;L. Yamal;M. Olise;C. Ronaldo;C. Ronaldo;Neymar;M. Salah;Neymar;B. D�az;J. Musiala;
Topscorer6;F. Wirtz;K. Havertz;J. Bellingham;J. Musiala;C. Ronaldo;M. Salah;C. Ronaldo;D. Undav;B. Fernandes;C. Ronaldo;D. Dumfries;B. Fernandes;K. Havertz;M. Oyarzabal;L. Yamal;L. Yamal;B. D�az;L. Yamal;C. Ronaldo;K. Havertz;L. Paquet�;
Kampioen;Spanje;Frankrijk;Spanje;Brazili�;Frankrijk;Frankrijk;Frankrijk;Spanje;Spanje;Nederland;Frankrijk;Brazili�;Frankrijk;Frankrijk;Frankrijk;Frankrijk;Marokko;Spanje;Nederland;Marokko;Spanje;
